stock_code,stock_name,news_count,avg_score,max_score,min_score,avg_certainty,factor_strength
600585,海螺水泥,4,5.95,6.3,5.6,0.85,6.82
09988,阿里巴巴,41,3.67,7.2,0.0,0.745,5.86
688981,中芯国际,9,3.28,6.3,1.4,0.761,5.48
601398,工商银行,1,4.0,4.0,4.0,0.8,5.2
600036,招商银行,4,2.68,4.0,1.0,0.775,4.6
600029,南方航空,1,2.7,2.7,2.7,0.9,4.59
002594,比亚迪,4,1.05,6.0,-2.0,0.7,4.32
601939,建设银行,3,1.43,4.0,-2.7,0.833,4.27
601766,中国中车,1,2.4,2.4,2.4,0.8,4.08
01810,小米集团,6,0.82,5.6,-5.0,0.667,4.01
002475,立讯精密,13,1.97,4.5,-0.3,0.608,3.96
600030,中信证券,20,0.65,5.6,-2.0,0.585,3.7
00700,腾讯控股,4,2.1,2.4,1.8,0.7,3.66
601390,中国中铁,1,0.5,0.5,0.5,1.0,3.35
601899,紫金矿业,26,-0.14,4.5,-4.0,0.667,3.3
600028,中国石化,8,1.04,2.7,-2.1,0.688,3.29
002415,海康威视,104,0.47,5.6,-1.8,0.468,3.27
600276,恒瑞医药,100,0.13,7.0,-0.3,0.344,3.18
601628,中国人寿,1,1.4,1.4,1.4,0.7,3.08
300750,宁德时代,4,1.27,2.1,0.6,0.625,3.02
601088,中国神华,27,0.3,4.0,-2.7,0.559,3.0
600309,万华化学,1,0.6,0.6,0.6,0.8,2.82
601012,隆基绿能,104,0.3,4.0,-2.7,0.476,2.75
601288,农业银行,6,-1.63,3.0,-3.6,0.817,2.7
000625,长安汽车,103,0.1,4.0,-3.2,0.44,2.56
601318,中国平安,43,0.44,2.0,-2.1,0.46,2.16
600104,上汽集团,101,-0.02,2.4,-3.2,0.447,2.05
000651,格力电器,98,0.12,2.0,-2.1,0.368,1.75
601857,中国石油,45,-0.16,1.8,-2.1,0.399,1.67
601186,中国铁建,3,0.4,1.0,-0.1,0.3,1.36
600048,保利发展,4,-0.0,0.7,-1.0,0.375,1.34
002241,歌尔股份,5,-0.88,1.2,-3.5,0.42,1.27
601600,中国铝业,3,-0.75,0.15,-2.4,0.467,1.14
601668,中国建筑,3,0.23,0.4,-0.1,0.3,1.11
000157,中联重科,1,-2.0,-2.0,-2.0,0.7,0.7
600031,三一重工,1,-2.0,-2.0,-2.0,0.7,0.7
000002,万科A,3,-0.33,0.0,-1.0,0.233,0.57
000338,潍柴动力,1,-2.5,-2.5,-2.5,0.5,-0.25
