datetime,content,title,stock_name,stock_code,industry,main_business,market_cap,analysis_time,news_index,sentiment,direct_impact_score,direct_impact_desc,indirect_impact_score,indirect_impact_desc,certainty,time_to_effect,overall_score,risk_factors,action_suggestion,time_to_ffect
2025-09-24 17:59:19,【“星际之门”项目将在美新建5个AI数据中心】美国开放人工智能研究中心、甲骨文公司和日本软银集团23日联合宣布，三家企业联手打造的“星际之门”项目将在美国新建5个AI（人工智能）数据中心。据开放人工智能研究中心官网发布的新闻公报，新建的5个数据中心中，最新宣布的两个分别位于俄亥俄州和得克萨斯州，由软银集团和开放人工智能研究中心合作开发，可在未来18个月内扩展至1.5千兆瓦容量。开放人工智能研究中心今年7月和甲骨文公司达成协议，未来5年投资超过3000亿美元，在得克萨斯州、新墨西哥州和美国中西部某地合作开发3个共计4.5千兆瓦容量的数据中心。三家企业表示，上述5个AI数据中心，加上之前在得克萨斯州的旗舰数据中心以及与“核心编织”公司正在推进的合作项目，总计可使“星际之门”项目达到近7千兆瓦的计划容量，未来三年内投资将超过4000亿美元。美国总统特朗普今年1月在白宫宣布，三家企业联手打造“星际之门”项目，投资5000亿美元用于在美国建设支持AI发展的基础设施。（央视）,,中国石油,601857,石油天然气,原油和天然气的勘探、开发、生产和销售，炼油化工,1.1万亿元,2025-09-24 21:08:07,1,中性,0.0,新闻内容是关于美国AI数据中心建设，与中国石油的核心业务（油气勘探开发、炼化）无直接关联，未提及公司或其业务。对公司收入、成本、利润无直接影响。,0.0,新闻涉及AI基础设施投资，与石油天然气行业无关，对行业整体、产业链上下游及竞争格局无显著间接影响。,0.1,6个月以上,0.0,无直接风险，但可能因市场情绪波动产生轻微噪音。,无需因该新闻调整操作，关注油气行业基本面因素。,
2025-09-24 17:59:19,【“星际之门”项目将在美新建5个AI数据中心】美国开放人工智能研究中心、甲骨文公司和日本软银集团23日联合宣布，三家企业联手打造的“星际之门”项目将在美国新建5个AI（人工智能）数据中心。据开放人工智能研究中心官网发布的新闻公报，新建的5个数据中心中，最新宣布的两个分别位于俄亥俄州和得克萨斯州，由软银集团和开放人工智能研究中心合作开发，可在未来18个月内扩展至1.5千兆瓦容量。开放人工智能研究中心今年7月和甲骨文公司达成协议，未来5年投资超过3000亿美元，在得克萨斯州、新墨西哥州和美国中西部某地合作开发3个共计4.5千兆瓦容量的数据中心。三家企业表示，上述5个AI数据中心，加上之前在得克萨斯州的旗舰数据中心以及与“核心编织”公司正在推进的合作项目，总计可使“星际之门”项目达到近7千兆瓦的计划容量，未来三年内投资将超过4000亿美元。美国总统特朗普今年1月在白宫宣布，三家企业联手打造“星际之门”项目，投资5000亿美元用于在美国建设支持AI发展的基础设施。（央视）,,中国石油,601857,石油天然气,原油和天然气的勘探、开发、生产和销售，炼油化工,1.1万亿元,2025-09-24 21:08:07,2,中性,0.0,新闻内容重复新闻1，关于美国AI数据中心项目，与中国石油业务无直接关系，未影响公司财务指标。,0.0,无行业或产业链间接影响，因内容与能源板块无关。,0.1,6个月以上,0.0,无实质性风险。,忽略该新闻，维持原有投资策略。,
2025-09-24 17:57:59,【康泰生物：流感病毒裂解疫苗上市许可申请获受理】康泰生物公告，公司研发的流感病毒裂解疫苗上市许可申请近日获得国家药品监督管理局出具的《受理通知书》。该疫苗适用于3周岁及以上人群，可刺激机体产生抗流感病毒的免疫力，用于预防疫苗相关型别的流感病毒引起的流行性感冒。目前国内外已有多款流感疫苗上市，包括长春生物制品研究所有限责任公司、华兰生物疫苗股份有限公司、北京科兴生物制品有限公司等厂家的产品。若该疫苗顺利获批上市，将丰富公司产品布局，增强核心竞争力，提升市场地位。,,海康威视,002415,安防监控,视频监控产品及解决方案的设计、研发、生产、销售和服务,3200亿元,2025-09-24 21:08:07,3,中性,0.0,新闻关于康泰生物的疫苗申请，与海康威视（安防监控业务）无直接关联，未提及公司或其业务，对财务无影响。,0.0,新闻属于生物医药领域，对安防行业无间接影响，不改变竞争格局或产业链动态。,0.1,6个月以上,0.0,无相关风险。,无需操作，关注海康威视自身业务新闻。,
2025-09-24 17:57:54,【湘财证券总裁周乐峰：应以更长眼光审视中国资本市场服务国家战略的使命】9月24日，在由证券时报与南方基金联合主办的2025中国证券业财富经纪高峰论坛上，湘财证券总裁周乐峰表示，从新“国九条”到去年“9·24一揽子金融政策”，当下应以更长眼光审视中国资本市场未来五到十年服务国家战略的使命，参与其中分享红利。他还提到，在波谲云诡的国际形势下，证券行业的首要使命是发挥功能性，保障居民财富稳定增长，这与过去三十年截然不同。,,中信证券,600030,证券业,证券经纪、投资银行、资产管理、自营交易等证券业务,3200亿元,2025-09-24 21:08:07,4,中性偏正,0.0,新闻是湘财证券总裁的行业观点，未直接提及中信证券或其业务，对收入/利润无即时直接影响。,1.0,新闻强调资本市场服务国家战略的使命和行业功能性，可能间接利好证券行业整体，增强投资者信心，但对竞争格局影响有限。,0.6,1个月内,0.6,观点性内容，实际政策执行存在不确定性。,轻微正面，可关注后续政策动向，但无需立即操作。,
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,隆基绿能,601012,光伏产业,单晶硅棒、硅片、电池组件的研发、生产、销售,2200亿元,2025-09-24 21:09:25,1,中性,0.0,新闻内容与隆基绿能主营业务（光伏产业）完全无关，未提及该公司或其业务。对公司财务无任何直接影响。,0.0,新闻涉及饮料行业品牌变更，与光伏行业、产业链及竞争格局无任何关联性。,0.0,不适用,0.0,新闻与公司无关，存在信息误配或数据源错误的风险。,无需因该新闻采取任何操作，此新闻对公司无影响。,
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,恒瑞医药,600276,化学制药,抗肿瘤药、手术用药、造影剂等创新药物的研发、生产、销售,2500亿元,2025-09-24 21:09:25,2,中性,0.0,新闻内容与恒瑞医药主营业务（创新药研发销售）完全无关，未提及该公司或其业务。对公司财务无任何直接影响。,0.0,新闻涉及饮料行业品牌变更，与制药行业、产业链及竞争格局无任何关联性。,0.0,不适用,0.0,新闻与公司无关，存在信息误配或数据源错误的风险。,无需因该新闻采取任何操作，此新闻对公司无影响。,
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,格力电器,000651,空调制造,家用空调、中央空调、空气能热水器等产品的研发、生产、销售,2000亿元,2025-09-24 21:09:25,3,中性,0.0,新闻内容与格力电器主营业务（空调制造销售）完全无关，未提及该公司或其业务。对公司财务无任何直接影响。,0.0,新闻涉及饮料行业品牌变更，与家电行业、产业链及竞争格局无任何关联性。,0.0,不适用,0.0,新闻与公司无关，存在信息误配或数据源错误的风险。,无需因该新闻采取任何操作，此新闻对公司无影响。,
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,长安汽车,000625,汽车制造,乘用车、商用车研发、生产、销售,1000亿元,2025-09-24 21:09:25,4,中性,0.0,新闻内容与长安汽车主营业务（汽车研发制造销售）完全无关，未提及该公司或其业务。对公司财务无任何直接影响。,0.0,新闻涉及饮料行业品牌变更，与汽车行业、产业链及竞争格局无任何关联性。,0.0,不适用,0.0,新闻与公司无关，存在信息误配或数据源错误的风险。,无需因该新闻采取任何操作，此新闻对公司无影响。,
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,长安汽车,000625,汽车制造,乘用车、商用车研发、生产、销售,1000亿元,2025-09-24 21:13:29,1,中性,0.0,新闻内容与长安汽车主营业务（汽车制造）完全无关，仅提及娃哈哈集团的品牌变更事宜。对公司收入、成本或利润无任何直接影响。,0.0,新闻涉及快速消费品行业，与汽车行业无关联。对汽车行业整体、产业链上下游及竞争格局均无任何间接影响。,1.0,,0.0,新闻内容与公司无关，存在信息错配风险。,无需因该新闻对长安汽车采取任何操作。,立即
2025-09-24 17:56:10,【知情人士：宗馥莉为“娃小宗”定下的年销售目标是300亿人民币】9月，一份娃哈哈《关于开展2026销售年度经销商沟通工作的通知》流出，通知显示，为维护“娃哈哈”品牌使用的合规性，娃哈哈集团决定从2026年新的销售年度起，更换使用新品牌“娃小宗”。财新就换标事宜问询娃哈哈集团，公司称“无回应”。“娃小宗”是宏胜饮料集团有限公司申请注册的商标，该系列商标从2025年5月开始申请注册。宏胜饮料的背后实控人即为宗馥莉，自2024年娃哈哈创始人宗庆后过世后，娃哈哈集团的大部分员工已被转移至宏胜饮料。一名接近娃哈哈的人士透露，宗馥莉为“娃小宗”定下的年销售目标是300亿人民币，这几乎是娃哈哈品牌一年实际销售规模的近八成。（财新）,,上汽集团,600104,汽车制造,整车、零部件的研发、生产、销售，汽车服务贸易,1800亿元,2025-09-24 21:13:29,2,中性,0.0,新闻内容与上汽集团主营业务（汽车制造与销售）完全无关，仅提及娃哈哈集团的品牌变更事宜。对公司财务表现无任何直接影响。,0.0,新闻属于饮料行业事件，与汽车制造行业无任何关联。对行业趋势、供应链或市场竞争无间接影响。,1.0,,0.0,新闻内容与公司无关，存在信息错配风险。,无需因该新闻对上汽集团采取任何操作。,立即
