date,Open,High,Low,Close,Volume,overall_score_mean,overall_score_sum,overall_score_count,overall_score_std,overall_score_min,overall_score_max,dominant_sentiment,direct_impact_score_mean,direct_impact_score_std,indirect_impact_score_mean,indirect_impact_score_std,certainty_mean,certainty_std,dominant_action_suggestion,combined_impact,weighted_score,price_change,next_open,future_return_1d,future_return_2d,future_return_3d,future_return_5d,price_change_next,prev_volume_change,future_volume_change_1d,future_volume_change_3d,future_volume_change_5d,daily_amplitude,overnight_gap,intraday_volatility,close_deviation,true_range,atr_5,atr_10,turnover_ratio,price_volume_sync,relative_strength,open_strength,close_strength,intraday_vs_overnight,future_amplitude_1d,future_amplitude_3d,future_amplitude_5d,future_atr_1d,future_atr_3d,future_atr_5d,future_turnover_1d,future_turnover_3d,future_turnover_5d
2024-09-24,15.82,16.36,15.74,16.23,2512266,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,,16.64,0.0,0.027043269230769162,0.03545673076923084,0.0625,0.0,,0.12935811733311686,-0.307028793925484,1.8126687221814888,0.03820086260012318,,0.03919089759797719,0.01121495327102802,0.6199999999999992,,,,,,0.03413400758533496,0.031130876747141056,,0.025240384615384505,0.04526987811955897,0.13348416289592757,,,1.2519999999999996,,,
2024-09-25,16.64,17.04,16.62,16.64,2837248,4.75,19.0,4.0,1.258,3.0,6.0,正面,2.0,0.816,2.75,0.957,0.7,0.082,关注,2.375,3.3249999999999997,0.025261860751694343,16.82,0.016052318668251964,0.024375743162901253,0.061831153388822724,-0.01010701545778847,1.6052318668251964,0.12935811733311686,-0.20851155767842644,1.3683957130289635,0.39471910809347643,0.025240384615384505,0.025261860751694343,0.025240384615384505,-0.011289364230540567,0.8099999999999987,,,,1.0,,0.024038461538461453,0.00120336943441634,0.9991494637700813,0.040374488004680964,0.09070548712206053,0.0522522522522521,,0.9039999999999996,1.3019999999999996,,,
2024-09-26,16.82,17.11,16.42,17.09,2245649,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.027043269230769162,17.57,-0.019351166761525374,0.016505406943653878,0.00626067159931698,-0.02845759817871374,-1.9351166761525374,-0.20851155767842644,-0.22475507080581159,2.1466057251155455,0.3438645131095732,0.040374488004680964,0.01081730769230771,0.041022592152199625,0.01938562481359972,0.6899999999999977,,,,-1.0,,0.017241379310344775,0.04080389768574897,3.732393662931026,0.04526987811955897,0.13348416289592757,0.06619800820152308,,1.2519999999999996,1.39,,,
2024-09-27,17.57,17.77,16.99,17.23,1740928,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.008191925102399189,17.6,0.01477272727272716,0.004545454545454408,-0.05397727272727293,-0.036363636363636376,1.477272727272716,-0.22475507080581159,2.8598529060363207,1.273019906624513,0.17476024281302838,0.04526987811955897,0.028086600351082458,0.04439385315879346,-0.0086306098964326,0.7800000000000011,,,,-1.0,,0.011383039271485446,0.014125956444967747,1.6117957116820354,0.09070548712206053,0.0522522522522521,0.04186320754716986,0.9039999999999996,1.3019999999999996,1.376,,,
2024-09-30,17.6,18.46,16.84,17.86,6719726,1.0,1.0,1.0,0.0,1.0,1.0,中性偏正,1.0,0.0,0.0,0.0,0.8,0.0,关注,0.5,0.8,0.03656413232733602,19.36,-0.08677685950413216,-0.1399793388429753,-0.11828512396694213,-0.10175619834710736,-8.677685950413217,2.8598529060363207,0.05155656644333417,-0.5508971645570072,-0.687643067589363,0.09070548712206053,0.021474172954149884,0.0920454545454546,0.011898016997167188,1.620000000000001,0.9039999999999996,,,1.0,,0.048863636363636324,0.060570071258907336,4.223931933323298,0.13348416289592757,0.06619800820152308,0.03967797584818848,1.2519999999999996,1.39,1.189999999999999,,,
2024-10-08,19.36,19.59,17.23,17.68,7066172,-2.0,-2.0,1.0,0.0,-2.0,-2.0,中性偏负,-1.0,0.0,-1.0,0.0,0.7,0.0,观望,-1.0,-1.4,-0.01007838745800671,17.42,-0.04420206659012649,-0.020091848450057515,-0.02640642939150406,-0.032721010332950606,-4.420206659012649,0.05155656644333417,-0.4399847611974348,-0.710568466207729,-0.7632009240646845,0.13348416289592757,0.08398656215005595,0.12190082644628096,-0.03965236284627922,2.3599999999999994,1.2519999999999996,,,-1.0,-0.5793318719330487,0.011880165289256221,0.02611723737666856,1.5893512436420902,0.0522522522522521,0.04186320754716986,0.02255192878338273,1.3019999999999996,1.376,0.8259999999999991,,,
2024-10-09,17.42,17.49,16.62,16.65,3957164,3.0,6.0,2.0,0.0,3.0,3.0,中性偏正,1.0,0.0,2.0,0.0,0.8,0.0,关注,1.5,2.4000000000000004,-0.058257918552036214,16.72,0.020933014354067137,0.014354066985646119,0.04007177033492826,0.026913875598086223,2.0933014354067137,-0.4399847611974348,-0.23737100610437167,-0.469581498264919,-0.6485685202837184,0.0522522522522521,-0.014705882352941013,0.04994259471871397,-0.023746701846965767,1.0599999999999987,1.3019999999999996,,,1.0,-84.11309561974066,0.004018369690011293,0.0018050541516244033,3.553150737010681,0.06619800820152308,0.03967797584818848,0.030285381479324584,1.39,1.189999999999999,0.718,,,
2024-10-10,16.72,17.7,16.57,17.07,3017848,5.5,11.0,2.0,2.121,4.0,7.0,强烈正面,3.0,1.414,2.5,0.707,0.8,0.141,关注,2.75,4.4,0.02522522522522541,17.32,-0.020785219399538035,0.004041570438799047,-0.02713625866050806,-0.026558891454965372,-2.0785219399538035,-0.23737100610437167,-0.32230748533392006,-0.44554430839459114,-0.5612191203798202,0.06619800820152308,0.004204204204204309,0.06758373205741622,-0.0037934053107673026,1.129999999999999,1.39,,,-1.0,76.67117521518169,0.05861244019138759,0.030175015087507542,15.745631641538049,0.04186320754716986,0.02255192878338273,0.029062870699881286,1.376,0.8259999999999991,0.5899999999999999,,,
2024-10-11,17.32,17.51,16.8,16.96,2045173,3.0,9.0,3.0,0.0,3.0,3.0,中性偏正,1.0,0.0,2.0,0.0,0.767,0.058,观望,1.5,2.301,-0.006444053895723445,17.08,0.01814988290398145,-0.013466042154566593,0.005269320843091618,0.01580796252927419,1.8149882903981451,-0.32230748533392006,0.026296063951558146,-0.32002231596055686,0.07529925341279187,0.04186320754716986,0.014645577035735213,0.040993071593533534,-0.01136694841154184,0.7100000000000009,1.376,,,1.0,2.4802084252636267,0.010969976905311853,0.009523809523809532,2.8584178595930423,0.03967797584818848,0.030285381479324584,0.03285302593659944,1.189999999999999,0.718,0.5960000000000001,,,
2024-10-14,17.08,17.49,16.8,17.39,2098953,5.0,10.0,2.0,0.0,5.0,5.0,正面,2.0,0.0,3.0,0.0,0.7,0.0,关注,2.5,3.5,0.025353773584905648,17.22,-0.021486643437862774,-0.0029036004645759395,-0.020905923344947674,0.04181184668989557,-2.1486643437862774,0.026296063951558146,-0.20281063939973887,-0.36912641683734704,0.29465786037133745,0.03967797584818848,0.007075471698112956,0.040398126463700106,0.014289880431612773,0.6899999999999977,1.189999999999999,1.0469999999999993,,1.0,-5.238099184940064,0.024004683840749424,0.03511904761904761,5.607812660835611,0.02255192878338273,0.029062870699881286,0.03790412486064658,0.8259999999999991,0.5899999999999999,0.6480000000000004,,,
