date,content
2024-09-20 11:39:47,【机构：核心资产有望迎来戴维斯双击，A50ETF华宝（159596）配置价值凸显】9月20日，截止午盘，A50ETF华宝（159596）跌0.32%，成交额4119万元。成份股涨跌互现。上涨方面，紫金矿业领涨超2%，美的集团跟涨；下跌方面，恒瑞医药、长江电力领跌。目前机构普遍认为A股已具备市场底部特征，且磨底过程可能加快，建议投资者保持耐心，等待市场拐点信号。而在市场从底部走出来的过程中，核心资产可能将迎来估值修复和盈利提升的戴维斯双击，具备较高配置价值。
2024-09-20 15:14:01,【重视核心资产+静待市场拐点，A50ETF华宝（159596）成交额破9700万】9月20日，A50ETF华宝（159596）涨0.22%，成交额9799万元。成份股涨跌互现。上涨方面，紫金矿业领涨超3%，美的集团跟涨；下跌方面，恒瑞医药、宁德时代领跌。长城证券指出，美联储“预防式降息”以及全球降息周期开启可能会降低全球借贷成本，中美利差有望进一步收窄，可能促使国际资本寻求更高收益的投资机会，这有可能增加对A股市场的资金流入，尤其是对那些具有吸引力的稳定高股息或者成长型股票。此外，目前机构普遍认为A股已具备市场底部特征，且磨底过程可能加快，建议投资者保持耐心，等待市场拐点信号。
2024-09-22 10:12:21,【杠杆资金本周重仓股曝光 紫金矿业居首】Wind统计显示，本周（9月18日至9月20日）共有1607只个股获融资净买入，净买入金额在千万元以上的有213只，共有5只融资净买入额超1亿元。紫金矿业本周获融资净买入居首，净买入额为2.58亿元。赤峰黄金、中际旭创、英科医疗获净买入居前；中国核电、贵州茅台、药明康德遭净卖出额居前，金额分别为2.41亿元、1.74亿元、1.70亿元。
2024-09-22 16:14:19,【龙高股份：控股股东及持股5%以上股东拟向紫金矿业转让部分股份】龙高股份公告，公司控股股东投资集团及持股5%以上股东文旅汇金拟通过协议转让方式向战略投资者紫金矿业转让其持有的公司股份合计3295.89万股，占公司总股本的18.39%，转让价格为14.93元/股。此外，兴杭国投拟将其持有的公司288.11万股股份转让给紫金矿业全资子公司紫金南投。交易完成后，紫金南投将成为公司持股5%以上的股东，合计持有公司股份3584万股，占公司总股本的20%。本次交易不会导致公司控股股东、实际控制人及相应的控制权发生变化。
2024-09-23 08:35:03,万国黄金集团称同意配售1.656亿股股份，认购价为每股8.33港元，认购方为紫金矿业的全资子公司。
2024-09-23 11:46:37,【宽松空间或进一步打开，A50ETF华宝（159596）午盘涨0.43%】9月23日，截止午盘，A50ETF华宝（159596）涨0.43%，成交额6412万元。成份股涨多跌少。上涨方面，美的集团领涨超3%，紫金矿业跟涨；下跌方面，恒瑞医药、比亚迪领跌。有券商表示，海外流动性转松进一步打开国内宽松空间，降准降息、降存量房贷利率、加快专项债发行等均可期待，经济向好势头有望得到进一步巩固。资本市场端，经过持续震荡调整后，当前A股具备底部特征，磨底进程有望加快。
2024-09-23 12:52:16,【宣布引入战投紫金矿业后股价开盘涨停 龙高股份回应：业务具备协同效应】 龙高股份今日开盘涨停，报19.23元/股。消息面上，该公司宣布拟引入战略投资者紫金矿业。值得注意的是，龙高股份在上述公告披露的前三个交易日股价累计涨近20%，有投资者质疑，股价大幅上涨是否源于内幕消息泄露。对此，记者以投资者身份致电龙高股份，相关人士回应称，公司信批合规。对于紫金矿业战略入股的原因，该人士解释，两家公司同为当地国资控股且在业务上具备一定的协同效应。 (21财经)
2024-09-23 14:42:51,【麦格理：料金价持续强势 金矿股首选招金矿业】麦格理发表报告指出，预期金价强势会持续，除了受惠减息外，经济数据疲弱亦会令减息预期进一步升温。虽然金价短期与金矿股走势分歧，但长线相关度仍高，因此金矿股股价现时偏弱，目前是较佳买入点。基于金价有望持续走强，故上调香港上市的金矿股目标价，当中首选是招金矿业(1818.HK)，因产量增长前景强劲，目标价由21港元上调至21.3港元。也看好紫金矿业(2899.HK)及山东黄金(1787.HK)，目标价由21港元和19港元，上调至21.3港元和19.8港元。
2024-09-23 15:02:47,【美的集团涨超3%，A50ETF华宝（159596）涨0.22%，机构：耐心等待市场拐点】9月23日，A50ETF华宝（159596）涨0.22%，成交额1.07亿元。成份股涨多跌少。上涨方面，美的集团领涨超3%，紫金矿业跟涨；下跌方面，恒瑞医药、比亚迪领跌。中信证券认为，“风险管理式”降息落地后的美元已进入降息周期，首次降幅50bp略超预期，改善人民币汇率预期的同时，也提升了国内货币政策弹性，预计增量政策将加码，定价效率改善的A股当前磨底进程有望提速，而价格已充分反映悲观预期的港股，其反弹有望延续成为月度级别修复行情。
2024-09-23 17:58:16,【龙高股份：紫金南投拟受让20%股权】 龙高股份公告，紫金矿业集团南方投资有限公司与龙岩投资发展集团有限公司、龙岩文旅汇金发展集团有限公司及闽西兴杭国有资产投资经营有限公司签署协议，受让龙高股份的3584万股股份，占总股本的20%。交易完成后，紫金南投将持有龙高股份20%的股份。该协议的股份转让价为14.93元/股，合计转让价款为5.35亿。本次权益变动尚需获得相关国资主管部门的批准。
