date,content
2021-10-14 17:23:27,【盐津铺子：预计第三季度净利同比下降40.22%-57.3%】盐津铺子公告，预计第三季度实现净利润2500万元-3500万元，同比下降40.22%-57.3%；9月中下旬，公司部分产能因限电原因未能及时供货而影响了部分货品销售，对9月份业绩及1-9月业绩有所影响。
2021-10-18 09:46:53,  食品饮料板块早盘大幅走低，三元股份跌超8%，来伊份、良品铺子、燕塘乳业、盐津铺子、华统股份等跌超6%。
2021-10-22 13:06:30,  食品板块午后走强，青岛食品、恰恰食品涨停，新乳业、盐津铺子、良品铺子、立高食品、涪陵榨菜等涨幅居前。
2021-10-25 08:54:00,【容大感光等22股获陆股通增仓超30%】Wind统计显示，截至10月22日，共有767只个股获陆股通增仓。其中，持股量环比增幅在30%以上的共有22只，环比增幅最大的是容大感光，陆股通最新持有38.27万股，持股量环比增幅达278.83%；环比增幅较大的还有移为通信、盐津铺子、金力泰、可立克、英唐智控等股。（证券时报）
2021-10-28 08:27:23,国金证券：将盐津铺子评级下调至增持。
2021-10-28 13:10:37,  消费股持续回暖，盐津铺子、千禾味业涨停，广州酒家涨超9%，天味食品、桃李面包、良品铺子、元祖股份等跟涨。
2021-10-28 13:46:02,食品板块持续走高，广州酒家、盐津铺子涨停，良品铺子、三只松鼠、元祖股份、桃李面包等跟涨。
2021-11-03 13:23:56,食品饮料板块继续活跃，祖名股份触及涨停，嘉必优、千味央厨、盐津铺子、海欣食品、妙可蓝多等涨幅居前。
2021-11-04 10:17:08,  食品饮料板块继续拉升，天味食品封涨停，盐津铺子、安井食品、惠发食品、南宁糖业、青岛食品等涨超5%。
2021-11-04 13:40:01,食品加工板块持续拉升，天味食品、盐津铺子等多股涨停，有友食品、佳禾食品跟涨。
2021-11-06 08:03:54,  【底部反转个股频现 机构聚焦高景气方向】近期A股市场继续呈现结构性行情，除了新能源主线持续强势外，部分回调许久的食品饮料、建筑建材等板块个股也渐渐走出底部反转走势。结合盈利预测来看，部分机构的关注点正从即期业绩转向中长期业绩。近期底部反转个股今年以来业绩表现多数不理想，但卖方普遍预测其明年业绩将迎来显著修复。临近年末，一些明年业绩有望高速增长的个股正进入主力资金的视野。最典型的案例便是盐津铺子，相似的案例还有涂料龙头三棵树。（上海证券报）
2021-11-23 09:55:46,盐津铺子早盘一度触及涨停，随后快速跳水翻绿。
2021-11-26 21:31:23,【今日财经TOP10】➊「重磅文件支持北京城市副中心发展，环京住房市场有何机遇」➋「部分低于20元/支，胰岛素首次国采平均降价48%，将为千万患者节约近百亿」➌「市场监管总局：医疗、药品、保健食品等广告未经审查，不得发布」➍「多地调整育儿假 湖北产假增60天 北京生育假增至60天」➎「潼关肉夹馍协会起诉多家商户后道歉：立即停止维权」➏「支付宝、微信个人收款码禁止商用？ 纯属误读」➐「青海首富肖永明的跨界往事：开直升飞机回老家，“钾肥大王”深陷铜矿黑洞」➑「黑糖话梅含铅量超标，盐津铺子为何再现食安问题？」➒「发生了什么？中信建投首席张夏跟招商首席朱玥怼起来了！」➓「中国证监会原发审委委员朱毅涉嫌严重违法接受调查」 https://finance.sina.com.cn/china/caijingtop10/2021-11-26/doc-ikyamrmy5296319.shtml
2021-12-23 10:02:51,食品加工板块走弱，麦趣尔跌超4%，立高食品、日辰股份、盐津铺子跟跌。
2021-12-31 08:43:41,【中信证券：2022年食品饮料行业应遵循四条投资主线】中信证券研报认为，2022年食品饮料行业应遵循以下投资主线：主线一，行业逻辑望持续兑现，看好啤酒行业持续高端化，推荐华润啤酒、青岛啤酒、重庆啤酒、燕京啤酒；看好乳业双雄盈利拐点已到，推荐伊利股份、蒙牛乳业。主线二，提价逻辑驱动，关注原材料成本下降、价格传导等超预期的弹性机会，推荐安琪酵母、洽洽食品、涪陵榨菜。主线三，大单品&渠道扩张驱动，关注成长股的逻辑兑现和超预期可能，推荐东鹏饮料，关注妙可蓝多、立高食品、甘源食品、盐津铺子、颐海国际。主线四，关注2022年疫情改善幅度，有望带来依赖餐饮渠道和独立开店公司的投资机会，关注安井食品、海天味业、绝味食品、巴比食品、千味央厨、日辰股份、桃李面包。
2022-01-14 10:49:10,【62股获机构买入型评级 中信证券关注度最高】统计显示，1月13日有62只个股获机构买入型评级。其中，中信证券关注度最高，获7次机构买入型评级记录；其次是平安银行，获6次机构买入型评级记录。密尔克卫、拓普集团、顾家家居均获5次机构买入型评级记录。从机构评级变动看，机构买入型评级记录中，有10条评级记录为机构首次关注，涉及中国能建、雅化集团、盐津铺子等股。
2022-02-07 16:26:15,  【盐津铺子：控股股东再次追加承诺延长锁定期2年】盐津铺子公告，基于对公司长期价值的认可以及对公司未来发展的信心，控股股东湖南盐津铺子控股有限公司自愿对所持有的已解除限售后延长锁定期2年的公司股份再次延长锁定期2年至2024年2月11日。
